iter	Logloss
0	0.6557617553
1	0.6202105175
2	0.5936810524
3	0.5642220399
4	0.537366918
5	0.5159397498
6	0.5019236786
7	0.4926508632
8	0.4814309545
9	0.4742932436
10	0.4679918323
11	0.4625980665
12	0.454963535
13	0.4519519783
14	0.4391909075
15	0.4341618188
16	0.4301435777
17	0.4243392123
18	0.4223448514
19	0.4177952672
20	0.4153850968
21	0.413276505
22	0.4109176587
23	0.4073051206
24	0.4063205635
25	0.4048922264
26	0.4037811225
27	0.4020168242
28	0.4005439128
29	0.3984077402
30	0.3977547042
31	0.3962355934
32	0.3949448959
33	0.3942146225
34	0.3916938334
35	0.3909461528
36	0.3870328699
37	0.3859824663
38	0.3845251332
39	0.3839735861
40	0.3835351044
41	0.3830765221
42	0.3826749853
43	0.3823238931
44	0.3819248457
45	0.381490731
46	0.3808894665
47	0.3804065718
48	0.3789394517
49	0.3786364823
50	0.3782688928
51	0.3769311954
52	0.3764068184
53	0.3760603641
54	0.375631356
55	0.3722139746
56	0.3705375741
57	0.3702216405
58	0.3699022346
59	0.3692460336
60	0.368911308
61	0.3681922307
62	0.3664142622
63	0.3644303579
64	0.363629162
65	0.362994854
66	0.362585417
67	0.3614800312
68	0.3611879961
69	0.3608912318
70	0.3604096792
71	0.3600539857
72	0.3596835112
73	0.3594480559
74	0.359184746
75	0.3586702229
76	0.3585225559
77	0.3579942835
78	0.3573668715
79	0.3569426656
80	0.356747938
81	0.3565154469
82	0.3562761633
83	0.355991712
84	0.3555167631
85	0.3552608482
86	0.3550765681
87	0.354891941
88	0.3547390001
89	0.3543828866
90	0.3531994023
91	0.3529356419
92	0.3527715262
93	0.3526234515
94	0.3523253116
95	0.3520554587
96	0.3518388746
97	0.3509125438
98	0.3507356708
99	0.3505817013
100	0.3503495419
101	0.350067933
102	0.3498504024
103	0.3497002004
104	0.3494424504
105	0.3481884725
106	0.3479869555
107	0.3478045439
108	0.3469853928
109	0.3468561739
110	0.3467147973
111	0.346519032
112	0.3460848443
113	0.3460497162
114	0.3459444232
115	0.3458438169
116	0.3456660705
117	0.3455531604
118	0.3453522581
119	0.3451340397
120	0.3444990045
121	0.3440750725
122	0.343996703
123	0.3437958677
124	0.3434738506
125	0.3432098985
126	0.3427376338
127	0.3424017518
128	0.3422892737
129	0.342213555
130	0.3420458361
131	0.3414038653
132	0.3411790919
133	0.3410239689
134	0.3408623183
135	0.3406024107
136	0.3403882703
137	0.3402081837
138	0.3398445778
139	0.3397069474
140	0.3394662395
141	0.3392061706
142	0.3390835342
143	0.3389398722
144	0.3384024061
145	0.337946651
146	0.3376582282
147	0.3375275151
148	0.3370129342
149	0.3368533956
150	0.3367917122
151	0.3364703677
152	0.3362598549
153	0.33608545
154	0.3358363824
155	0.3357622704
156	0.3354543649
157	0.335297483
158	0.3349315764
159	0.3348106503
160	0.3346598305
161	0.3344236662
162	0.3342956525
163	0.3341860777
164	0.3340443907
165	0.3338569973
166	0.3337193456
167	0.3332756782
168	0.3331840859
169	0.3329983572
170	0.3328238945
171	0.3327630145
172	0.3322720705
173	0.3320185019
174	0.3318780717
175	0.3317644738
176	0.3312063807
177	0.3310339357
178	0.330812315
179	0.330703711
180	0.3306141364
181	0.3304145153
182	0.330189547
183	0.3300832042
184	0.3299023476
185	0.3297043364
186	0.3296517249
187	0.3295019459
188	0.3293315582
189	0.3292065298
190	0.3290756646
191	0.3288733776
192	0.328695333
193	0.3285845074
194	0.3284881281
195	0.3279129625
196	0.3277643217
197	0.3275562708
198	0.3274247908
199	0.3269784332
200	0.3259765175
201	0.3258859751
202	0.3255666969
203	0.3254554819
204	0.3253296014
205	0.3252141867
206	0.3250451866
207	0.3249330798
208	0.3246938936
209	0.3245022518
210	0.3244620355
211	0.3243819801
212	0.324282944
213	0.3238003841
214	0.3236145366
215	0.3234569365
216	0.3232520567
217	0.3231337631
218	0.3230240909
219	0.3228803497
220	0.3227864993
221	0.3225876542
222	0.3224832225
223	0.3223358112
224	0.3221930316
225	0.322041305
226	0.3219121135
227	0.3216922518
228	0.321535936
229	0.3214233971
230	0.3212206901
231	0.3210826002
232	0.3208017825
233	0.3207201872
234	0.3203628138
235	0.320114787
236	0.3197312479
237	0.3194342371
238	0.3194034548
239	0.3192877296
240	0.3191982097
241	0.3191273662
242	0.3190006337
243	0.3188873431
244	0.3187715905
245	0.3187030751
246	0.3185134754
247	0.3184060491
248	0.3183172931
249	0.3181664886
250	0.3180793364
251	0.3179597372
252	0.3177892642
253	0.3177039835
254	0.3176196098
255	0.3174900683
256	0.3173909988
257	0.3172812871
258	0.317170775
259	0.3169851801
260	0.3168374249
261	0.3167065901
262	0.3165870883
263	0.3164342813
264	0.3162551807
265	0.3161523102
266	0.3160805111
267	0.3158655064
268	0.3157766195
269	0.3156060066
270	0.3153110347
271	0.3152135842
272	0.3151275976
273	0.3150882759
274	0.3148851033
275	0.3147040551
276	0.3145424562
277	0.3143995519
278	0.3143139517
279	0.3141701162
280	0.3140717618
281	0.313934387
282	0.3138658746
283	0.313732727
284	0.3135955044
285	0.3135035043
286	0.3133398603
287	0.313210891
288	0.3130873538
289	0.3128203372
290	0.3125425901
291	0.3123296457
292	0.3121938656
293	0.3121011047
294	0.31197352
295	0.3119021135
296	0.3117304293
297	0.3115831062
298	0.3115196456
299	0.3114157343
300	0.3112306812
301	0.3110928043
302	0.310974745
303	0.3108696833
304	0.3106827738
305	0.3105261232
306	0.3104263263
307	0.3103375368
308	0.3101857097
309	0.3100150968
310	0.3099023479
311	0.3097807493
312	0.3096926506
313	0.3096061101
314	0.3094326152
315	0.3093734364
316	0.3092704289
317	0.3091236506
318	0.3090979778
319	0.3090580566
320	0.308978619
321	0.3088994492
322	0.3088104893
323	0.3086071159
324	0.3084390531
325	0.3082780994
326	0.3081672312
327	0.3079927929
328	0.3078086436
329	0.3077183812
330	0.3076520386
331	0.3075296092
332	0.3070933582
333	0.3070219639
334	0.3069061322
335	0.3068144821
336	0.306735994
337	0.3065313302
338	0.3064065453
339	0.3062987934
340	0.3061848242
341	0.3060847839
342	0.3059105525
343	0.3057712392
344	0.3056442449
345	0.3055805591
346	0.3054649283
347	0.3053533115
348	0.3052469899
349	0.3051100412
350	0.3049731808
351	0.3048293818
352	0.3047505285
353	0.3046571498
354	0.3045391057
355	0.3044813785
356	0.3043421352
357	0.3042033515
358	0.3041154171
359	0.3040358639
360	0.3039393355
361	0.3038758475
362	0.3037932266
363	0.3037196442
364	0.3035328169
365	0.3033580529
366	0.3032628391
367	0.3030623568
368	0.3029725631
369	0.3028814272
370	0.3027173572
371	0.3026217722
372	0.3025134756
373	0.3023712347
374	0.3021649641
375	0.3020955753
376	0.301998146
377	0.3019216056
378	0.3017420455
379	0.3015838185
380	0.3015030418
381	0.3014314954
382	0.3013091146
383	0.3012479973
384	0.3011778507
385	0.301074965
386	0.3009685612
387	0.3008620875
388	0.3007836785
389	0.3006783582
390	0.3005915407
391	0.3005297447
392	0.3004306265
393	0.3003275521
394	0.3002257893
395	0.3001365951
396	0.2999842233
397	0.2998399921
398	0.2997672009
399	0.2996923373
400	0.2996058242
401	0.2995033066
402	0.2993563579
403	0.2993034086
404	0.2992534447
405	0.2991537696
406	0.2989490298
407	0.2988483504
408	0.2987286964
409	0.2985604328
410	0.2984430643
411	0.2983560368
412	0.2983126798
413	0.298267013
414	0.2982091915
415	0.2981182474
416	0.2980406053
417	0.2979506199
418	0.2978909481
419	0.2978155823
420	0.2976896897
421	0.2975910097
422	0.297458425
423	0.2973600006
424	0.2971796158
425	0.2970860911
426	0.2970235952
427	0.2969388928
428	0.2968381921
429	0.296760203
430	0.2966409842
431	0.2964877177
432	0.2963944881
433	0.2962685073
434	0.296192545
435	0.2961241726
436	0.2959937273
437	0.2959356867
438	0.2957680287
439	0.2956084627
440	0.2955161218
441	0.2953988841
442	0.2952639348
443	0.2951302576
444	0.2950484037
445	0.2949461296
446	0.2948416157
447	0.2947142319
448	0.2946166901
449	0.2944494642
450	0.2943408115
451	0.2941614736
452	0.294070989
453	0.2940329668
454	0.2939014625
455	0.2938039176
456	0.2935142593
457	0.2933538503
458	0.2932402067
459	0.2931365784
460	0.2930321437
461	0.292942569
462	0.2928386942
463	0.2927942934
464	0.292701076
465	0.2925858104
466	0.2925368386
467	0.292453597
468	0.2923768465
469	0.2923114261
470	0.2922016961
471	0.2921333267
472	0.2920407302
473	0.2919563625
474	0.2918423111
475	0.2917336189
476	0.2916242054
477	0.2914736747
478	0.2912733111
479	0.2911937669
480	0.291144926
481	0.2910371011
482	0.2909425204
483	0.2908490108
484	0.2907353064
485	0.2906686382
486	0.2905885889
487	0.2905220881
488	0.2904580279
489	0.2903533436
490	0.2902037016
491	0.2901201617
492	0.2900245645
493	0.2899425006
494	0.2898859968
495	0.2898001715
496	0.289608055
497	0.2895178352
498	0.2894229349
499	0.2893459075
500	0.2892229029
501	0.2891350447
502	0.289057783
503	0.2889294771
504	0.2888411563
505	0.2887721752
506	0.2886718488
507	0.2885344254
508	0.2883592719
509	0.2882465048
510	0.2881871403
511	0.2880430644
512	0.2879147524
513	0.2877918178
514	0.2876812935
515	0.2876177081
516	0.2875405712
517	0.2874656528
518	0.2873905883
