iter	Passed	Remaining
0	191	191360
1	211	105673
2	229	76189
3	242	60388
4	255	50935
5	271	45016
6	286	40625
7	299	37177
8	312	34463
9	326	32342
10	339	30509
11	352	28994
12	365	27747
13	378	26675
14	391	25715
15	404	24855
16	418	24198
17	435	23782
18	448	23138
19	460	22568
20	472	22034
21	485	21567
22	497	21130
23	510	20746
24	524	20445
25	537	20131
26	551	19863
27	565	19616
28	579	19401
29	592	19171
30	607	18996
31	623	18865
32	640	18770
33	659	18742
34	673	18569
35	691	18518
36	709	18472
37	727	18412
38	744	18355
39	761	18282
40	778	18208
41	798	18213
42	816	18174
43	837	18194
44	858	18220
45	876	18168
46	893	18123
47	910	18064
48	930	18058
49	945	17957
50	959	17857
51	972	17725
52	986	17618
53	999	17502
54	1012	17404
55	1028	17333
56	1044	17274
57	1057	17170
58	1070	17068
59	1083	16981
60	1096	16877
61	1108	16769
62	1121	16676
63	1134	16592
64	1148	16521
65	1167	16525
66	1181	16453
67	1199	16446
68	1217	16425
69	1236	16421
70	1252	16394
71	1276	16452
72	1299	16501
73	1318	16493
74	1333	16441
75	1347	16379
76	1360	16309
77	1373	16236
78	1386	16166
79	1401	16118
80	1417	16084
81	1430	16016
82	1445	15975
83	1460	15924
84	1478	15914
85	1490	15842
86	1503	15773
87	1515	15701
88	1526	15620
89	1538	15554
90	1551	15496
91	1564	15440
92	1580	15412
93	1592	15348
94	1604	15286
95	1617	15231
96	1630	15177
97	1643	15127
98	1658	15093
99	1673	15057
100	1691	15053
101	1708	15039
102	1728	15050
103	1748	15066
104	1767	15065
105	1785	15062
106	1804	15057
107	1823	15059
108	1843	15065
109	1859	15045
110	1881	15071
111	1897	15047
112	1912	15011
113	1930	15001
114	1943	14954
115	1954	14894
116	1966	14844
117	1979	14799
118	1992	14752
119	2004	14699
120	2017	14654
121	2029	14605
122	2040	14550
123	2052	14501
124	2065	14456
125	2076	14405
126	2091	14376
127	2105	14346
128	2122	14329
129	2134	14283
130	2147	14243
131	2160	14206
132	2173	14168
133	2186	14131
134	2199	14095
135	2213	14064
136	2229	14042
137	2246	14034
138	2263	14023
139	2284	14034
140	2305	14048
141	2326	14054
142	2342	14036
143	2365	14060
144	2385	14068
145	2407	14082
146	2424	14067
147	2438	14038
148	2452	14009
149	2465	13970
150	2478	13933
151	2490	13896
152	2503	13861
153	2518	13837
154	2533	13814
155	2548	13788
156	2561	13751
157	2573	13716
158	2587	13685
159	2600	13654
160	2613	13617
161	2626	13584
162	2638	13550
163	2651	13514
164	2664	13484
165	2677	13452
166	2690	13420
167	2703	13388
168	2716	13359
169	2732	13341
170	2748	13322
171	2764	13305
172	2786	13321
173	2807	13328
174	2825	13321
175	2849	13338
176	2869	13343
177	2887	13336
178	2905	13326
179	2918	13295
180	2931	13262
181	2946	13243
182	2963	13230
183	2978	13210
184	2991	13178
185	3004	13147
186	3015	13111
187	3028	13082
188	3041	13049
189	3054	13019
190	3066	12986
191	3078	12953
192	3090	12924
193	3102	12891
194	3115	12861
195	3128	12831
196	3140	12800
197	3152	12769
198	3167	12748
199	3182	12731
200	3196	12708
201	3209	12680
202	3223	12657
203	3236	12628
204	3248	12598
205	3262	12575
206	3278	12558
207	3294	12542
208	3309	12523
209	3326	12514
210	3343	12501
211	3361	12493
212	3381	12494
213	3399	12486
214	3424	12501
215	3444	12502
216	3461	12489
217	3475	12468
218	3489	12444
219	3503	12420
220	3516	12395
221	3529	12369
222	3542	12341
223	3554	12314
224	3567	12288
225	3581	12265
